,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1310,2016-09-08,BTCUSD,"614,48","628,23","614,48","624,7","1379,06","859528,62"
1311,2016-09-07,BTCUSD,"611,89","617,1","609,9","614,48","1513,9","931506,85"
1312,2016-09-06,BTCUSD,"605,98","611,89","605,45","611,89","541,27","329527,12"
1313,2016-09-05,BTCUSD,"607,67","608,57","601,1","605,98","300,25","181521,97"
1314,2016-09-04,BTCUSD,"600,17","611,84","500,0","607,67","662,56","397938,79"
1315,2016-09-03,BTCUSD,"574,85","607,14","573,93","600,17","1213,01","716423,67"
1316,2016-09-02,BTCUSD,"571,53","577,35","570,73","574,85","820,84","471476,74"
1317,2016-09-01,BTCUSD,"574,22","577,35","570,73","571,53","1247,36","716144,18"
1318,2016-08-31,BTCUSD,"577,91","577,91","572,52","574,22","1491,14","855848,83"
1319,2016-08-30,BTCUSD,"573,36","579,36","573,35","577,91","1263,63","727900,04"
1320,2016-08-29,BTCUSD,"572,98","575,99","571,71","573,36","972,74","558705,67"
1321,2016-08-28,BTCUSD,"569,82","572,98","569,82","572,98","310,86","177486,57"
1322,2016-08-27,BTCUSD,"578,77","578,99","568,01","569,82","278,21","159265,05"
1323,2016-08-26,BTCUSD,"575,97","578,99","575,76","578,77","606,36","350319,44"
1324,2016-08-25,BTCUSD,"579,24","579,24","566,0","575,97","2026,44","1161333,85"
1325,2016-08-24,BTCUSD,"581,98","581,99","577,99","579,24","901,13","522461,91"
1326,2016-08-23,BTCUSD,"586,97","586,97","580,66","581,98","943,71","549857,78"
1327,2016-08-22,BTCUSD,"579,85","588,96","579,85","586,97","1418,36","829418,58"
1328,2016-08-21,BTCUSD,"580,21","580,99","579,21","579,85","146,04","84777,33"
1329,2016-08-20,BTCUSD,"573,7","580,21","573,7","580,21","449,71","259301,89"
1330,2016-08-19,BTCUSD,"574,08","576,99","570,0","573,7","1458,38","837295,15"
1331,2016-08-18,BTCUSD,"574,99","576,72","573,0","574,08","1316,25","757122,81"
1332,2016-08-17,BTCUSD,"580,35","580,35","571,16","574,99","1328,69","762121,71"
1333,2016-08-16,BTCUSD,"569,33","582,87","565,11","580,35","2250,67","1294063,25"
1334,2016-08-15,BTCUSD,"571,7","573,43","560,32","569,33","1004,32","569293,45"
1335,2016-08-14,BTCUSD,"586,99","586,99","566,0","571,7","517,34","296890,36"
1336,2016-08-13,BTCUSD,"588,83","589,01","584,54","586,99","312,91","183870,38"
1337,2016-08-12,BTCUSD,"587,57","590,22","584,13","588,83","1178,5","693614,82"
1338,2016-08-11,BTCUSD,"595,14","597,19","587,01","587,57","994,18","588907,16"
1339,2016-08-10,BTCUSD,"585,76","600,0","584,07","595,14","1297,2","771219,25"
1340,2016-08-09,BTCUSD,"595,65","595,96","583,43","585,76","1461,42","861476,94"
1341,2016-08-08,BTCUSD,"593,65","598,99","589,66","595,65","1086,9","646963,38"
1342,2016-08-07,BTCUSD,"588,16","598,99","583,68","593,65","481,41","284717,06"
1343,2016-08-06,BTCUSD,"575,51","590,68","572,14","588,16","727,17","423689,96"
1344,2016-08-05,BTCUSD,"585,0","585,15","572,0","575,51","1314,46","756689,49"
1345,2016-08-04,BTCUSD,"572,38","602,15","567,61","585,0","1214,75","699809,3"
1346,2016-08-03,BTCUSD,"515,86","573,99","508,12","572,38","2105,97","1161353,53"
1347,2016-08-02,BTCUSD,"606,78","614,38","456,36","515,86","3356,11","1891926,4"
1348,2016-08-01,BTCUSD,"622,17","626,61","606,0","606,78","1344,86","833402,75"
1349,2016-07-31,BTCUSD,"655,01","655,01","622,17","622,17","638,49","404947,05"
1350,2016-07-30,BTCUSD,"657,99","657,99","654,83","655,01","198,59","130374,6"
1351,2016-07-29,BTCUSD,"657,32","657,99","655,87","657,99","1021,79","671745,98"
1352,2016-07-28,BTCUSD,"658,24","659,24","654,63","657,32","676,31","444509,43"
1353,2016-07-27,BTCUSD,"655,16","659,68","650,27","658,24","643,3","422526,77"
1354,2016-07-26,BTCUSD,"656,26","659,1","646,27","655,16","1243,9","814487,72"
1355,2016-07-25,BTCUSD,"663,95","663,99","652,74","656,26","968,8","637333,97"
1356,2016-07-24,BTCUSD,"655,92","665,08","652,7","663,95","231,84","152903,65"
1357,2016-07-23,BTCUSD,"649,03","656,85","649,03","655,92","433,95","283517,52"
1358,2016-07-22,BTCUSD,"665,86","666,99","644,08","649,03","677,36","444381,34"
1359,2016-07-21,BTCUSD,"664,86","667,31","660,02","665,86","712,51","473882,2"
1360,2016-07-20,BTCUSD,"672,98","673,52","662,04","664,86","2106,48","1404858,53"
1361,2016-07-19,BTCUSD,"672,74","674,43","667,67","672,98","727,93","488504,76"
1362,2016-07-18,BTCUSD,"678,34","682,71","667,49","672,74","1102,58","745286,58"
1363,2016-07-17,BTCUSD,"663,84","687,56","663,84","678,34","1145,73","778228,53"
1364,2016-07-16,BTCUSD,"665,0","668,72","660,0","663,84","202,96","134713,56"
1365,2016-07-15,BTCUSD,"658,98","669,01","658,69","665,0","891,47","591878,57"
